mfcc_mean,mfcc_std,annotator_emo
"[-639.9155883789062, 85.63595581054688, 13.82510757446289, 33.841148376464844, -12.888837814331055, 24.33137321472168, -18.24591827392578, 3.992236375808716, -4.639572620391846, 2.9936301708221436, -2.9024717807769775, 3.0960917472839355, 4.238414287567139, -2.277421474456787, 11.359314918518066, -8.341704368591309, 6.7589640617370605, -4.940510272979736, 3.434546709060669, -1.3768112659454346]","[105.45240020751953, 40.21161651611328, 20.182865142822266, 18.79149627685547, 28.399322509765625, 13.666583061218262, 16.42495346069336, 14.52448844909668, 11.984237670898438, 14.187788009643555, 10.562230110168457, 7.3096089363098145, 11.56568431854248, 9.481491088867188, 7.83288049697876, 7.338156700134277, 5.938296318054199, 7.22893762588501, 6.298064708709717, 6.571741104125977]",sad
"[-506.026611328125, 75.25493621826172, -0.742405891418457, 15.282909393310547, -17.49228286743164, 2.399174928665161, -19.539628982543945, -6.782710075378418, -5.973482131958008, -10.641707420349121, -16.093198776245117, -8.534708023071289, -13.402161598205566, -12.860432624816895, -6.089819431304932, -17.41512107849121, -2.8235504627227783, -11.399291038513184, -4.994389533996582, -7.444110870361328]","[97.6485595703125, 27.32421875, 16.339439392089844, 25.123008728027344, 24.449573516845703, 11.465056419372559, 21.42024803161621, 8.630581855773926, 8.119011878967285, 8.758069038391113, 12.826847076416016, 5.980234146118164, 11.46104907989502, 7.846546173095703, 6.241424083709717, 12.868552207946777, 8.298124313354492, 10.055150985717773, 7.747215270996094, 9.95804214477539]",sad
"[-460.9158630371094, 102.61022186279297, -21.02369499206543, 48.37995147705078, -29.287330627441406, 33.08379364013672, -20.325687408447266, 14.648049354553223, -16.489652633666992, 5.363723278045654, -0.3011317551136017, -3.7503604888916016, 6.86051082611084, -8.735726356506348, 10.996423721313477, -10.176114082336426, 12.010663032531738, -3.736342191696167, 5.841508388519287, 1.8584758043289185]","[73.52100372314453, 16.827980041503906, 22.13258171081543, 8.959112167358398, 9.952900886535645, 6.878419876098633, 8.04995059967041, 7.5285162925720215, 6.0367279052734375, 5.302419662475586, 5.771182537078857, 4.811080455780029, 4.305727958679199, 5.093506336212158, 3.9308202266693115, 4.794063568115234, 4.291345119476318, 4.762085914611816, 3.0382087230682373, 4.044373035430908]",other
"[-510.8448486328125, 75.2076416015625, 6.8853654861450195, 19.529159545898438, -3.5772812366485596, 13.837475776672363, -19.046728134155273, -1.9845753908157349, -3.624694347381592, 5.903641700744629, -8.193929672241211, 2.2889225482940674, 4.550495624542236, -1.8828548192977905, 8.27271842956543, -5.811826705932617, 6.275021076202393, -4.081248760223389, 3.099313497543335, -3.7907440662384033]","[96.23148345947266, 33.84138488769531, 18.267602920532227, 23.131591796875, 21.852214813232422, 18.202573776245117, 22.791345596313477, 14.077527046203613, 11.256468772888184, 8.602682113647461, 12.284733772277832, 7.689373016357422, 5.932486057281494, 8.507298469543457, 6.30407190322876, 8.868906021118164, 6.2668538093566895, 8.868783950805664, 6.568540573120117, 6.006314277648926]",sad
"[-301.9679260253906, 127.5128173828125, 5.373571872711182, 20.104400634765625, -10.340295791625977, -2.9732887744903564, -10.821626663208008, -2.542093276977539, -12.925975799560547, -3.6553609371185303, 0.13230103254318237, -2.179100275039673, -0.9281788468360901, -10.417652130126953, 1.0304319858551025, -5.856805801391602, -3.1596853733062744, -1.012165904045105, 0.5727964639663696, 3.1275439262390137]","[116.88765716552734, 47.2012939453125, 23.846342086791992, 22.493881225585938, 20.977846145629883, 12.835456848144531, 13.500686645507812, 12.649212837219238, 14.043047904968262, 9.627144813537598, 8.648072242736816, 8.96074104309082, 8.654277801513672, 11.161463737487793, 8.672555923461914, 6.145211219787598, 7.757635593414307, 5.928966045379639, 8.862611770629883, 8.020686149597168]",sad
"[-518.0923461914062, 100.67703247070312, -3.485339641571045, 36.2201042175293, -14.67467212677002, 11.078635215759277, -16.196123123168945, 6.2783427238464355, -10.640812873840332, 6.939037322998047, -6.254026889801025, -3.6769397258758545, -2.1112914085388184, -18.399518966674805, -3.6017589569091797, -12.289329528808594, 2.3334882259368896, -14.449091911315918, -6.486314296722412, -11.921616554260254]","[111.89876556396484, 39.79756164550781, 21.141006469726562, 29.068031311035156, 19.956384658813477, 10.720500946044922, 12.892751693725586, 5.746967792510986, 9.982105255126953, 10.295732498168945, 7.998695373535156, 9.229976654052734, 4.771477699279785, 11.134459495544434, 7.806417465209961, 8.291529655456543, 8.856623649597168, 9.104779243469238, 5.295854568481445, 8.545384407043457]",neutral
"[-387.1512451171875, 59.58128356933594, 1.3326116800308228, 13.807228088378906, -13.52961540222168, 5.861006259918213, -15.358351707458496, -2.453282594680786, -3.706058979034424, 0.8324090242385864, -8.551660537719727, -2.331545352935791, -2.1753594875335693, -0.793861448764801, 4.295650005340576, -8.187698364257812, 3.3849401473999023, -5.1562604904174805, -0.8359154462814331, -4.5072455406188965]","[119.61672973632812, 42.6114501953125, 29.68143081665039, 27.58089256286621, 21.780792236328125, 18.257278442382812, 20.60019302368164, 16.77606201171875, 17.04824447631836, 12.80377197265625, 13.974196434020996, 8.633380889892578, 11.049367904663086, 8.165033340454102, 8.229353904724121, 12.489767074584961, 8.08768367767334, 9.637188911437988, 6.913360595703125, 9.869108200073242]",neutral
"[-518.48046875, 81.3420639038086, 10.17997932434082, 22.77465057373047, 3.4812920093536377, -6.892115116119385, -3.4970216751098633, 0.24168072640895844, -12.273924827575684, -0.1788402795791626, -9.340271949768066, -3.188896417617798, -0.28785982728004456, -8.969600677490234, 7.051431655883789, 2.4570672512054443, 1.608849048614502, 2.627344846725464, 4.140592098236084, -2.2508695125579834]","[126.57129669189453, 67.59722137451172, 23.256811141967773, 35.602294921875, 19.95174789428711, 19.280494689941406, 16.770814895629883, 16.186445236206055, 18.471904754638672, 13.789341926574707, 17.57208251953125, 8.641488075256348, 9.073009490966797, 15.904600143432617, 10.615230560302734, 9.280460357666016, 10.191018104553223, 7.991650581359863, 7.465007305145264, 8.115910530090332]",sad
"[-357.3952941894531, 108.89607238769531, 2.9437031745910645, 25.150423049926758, -6.384095191955566, 4.057778835296631, 2.5837252140045166, -3.1460797786712646, -7.776902675628662, 4.4820637702941895, -2.890377998352051, -0.45452332496643066, 2.1272432804107666, -0.2281651496887207, 4.846953392028809, -4.510310173034668, 1.7093653678894043, -2.293212652206421, -2.2874484062194824, -3.1006455421447754]","[75.80781555175781, 33.54440689086914, 20.21994972229004, 27.836997985839844, 19.276079177856445, 14.366729736328125, 11.502713203430176, 12.459914207458496, 11.498321533203125, 8.664192199707031, 11.155272483825684, 8.413185119628906, 9.667036056518555, 8.562784194946289, 7.495596885681152, 9.766592979431152, 5.567541122436523, 7.528777599334717, 6.402956485748291, 7.980144023895264]",sad
"[-393.8850402832031, 132.73634338378906, -17.849506378173828, 44.6244010925293, 4.386763572692871, 16.39158821105957, -0.5503911972045898, -0.04813332110643387, -5.002303123474121, -6.445417404174805, 6.663393497467041, -4.818162441253662, -4.286619663238525, -2.1611034870147705, 1.008231520652771, 0.6894966959953308, 0.9196868538856506, -5.397274494171143, -2.146557331085205, 2.224702835083008]","[107.91902923583984, 66.33428955078125, 29.515512466430664, 26.705886840820312, 31.770410537719727, 20.015256881713867, 14.724770545959473, 12.575922966003418, 13.953019142150879, 12.845719337463379, 9.85954761505127, 11.525006294250488, 8.329882621765137, 7.046726226806641, 7.260410785675049, 8.191398620605469, 8.247562408447266, 7.464138031005859, 6.233695030212402, 6.132588863372803]",neutral
"[-636.25390625, 35.464439392089844, 3.906804084777832, 38.68848419189453, -17.832571029663086, 26.0053653717041, -21.815631866455078, 10.26075553894043, -17.616844177246094, 10.06696605682373, -13.369973182678223, -1.5274012088775635, 3.6053099632263184, -12.77093505859375, 14.744852066040039, -12.588258743286133, 6.368275165557861, -7.571120262145996, 2.6114916801452637, -5.800047397613525]","[52.0034294128418, 19.829072952270508, 13.308661460876465, 19.489763259887695, 8.254899024963379, 8.094779968261719, 9.025579452514648, 13.499213218688965, 8.783170700073242, 7.702459812164307, 11.649513244628906, 7.710142135620117, 4.616488933563232, 7.270700454711914, 4.299026966094971, 4.52959680557251, 5.290074825286865, 4.270647048950195, 4.398290634155273, 5.0933966636657715]",sad
"[-598.2775268554688, 33.842857360839844, 6.454348087310791, 4.381533145904541, -11.65315055847168, -0.6609475016593933, -15.467921257019043, 2.885483980178833, -9.505817413330078, -4.007547378540039, -3.625459671020508, -3.6111819744110107, -2.402437925338745, -7.075672149658203, 2.0628199577331543, -4.087154388427734, 1.1491657495498657, -2.266658067703247, -0.013021061196923256, -2.8703715801239014]","[123.62599182128906, 63.98119354248047, 21.071077346801758, 25.48766326904297, 22.76736831665039, 13.025650978088379, 25.364830017089844, 12.365758895874023, 13.971697807312012, 8.604569435119629, 8.484963417053223, 7.65450382232666, 5.796533584594727, 12.457979202270508, 8.515564918518066, 9.261331558227539, 7.294286251068115, 7.4322662353515625, 5.919928550720215, 8.25667953491211]",neutral
"[-498.7464599609375, 79.11742401123047, -33.930728912353516, 32.91044616699219, -19.988759994506836, 25.09480094909668, -15.132089614868164, 12.450417518615723, -2.0137405395507812, 2.3076024055480957, -0.42633336782455444, -11.996094703674316, 8.373462677001953, -9.912129402160645, 6.357442855834961, -1.5458078384399414, 5.883228302001953, -0.7893514633178711, 2.406517267227173, -2.6445815563201904]","[68.78359985351562, 34.10114288330078, 15.898317337036133, 15.257467269897461, 14.935578346252441, 10.760125160217285, 9.485762596130371, 8.84417724609375, 8.065964698791504, 6.191896438598633, 8.496014595031738, 7.518435478210449, 6.301489353179932, 7.61801815032959, 6.062661170959473, 7.9142279624938965, 6.632211685180664, 4.64018440246582, 4.155824184417725, 5.6575751304626465]",sad
"[-528.8527221679688, 90.24229431152344, 4.611173629760742, 34.32439041137695, -22.873096466064453, 21.675983428955078, -16.360851287841797, 0.11776953935623169, -18.193862915039062, -4.7262349128723145, -14.229665756225586, -2.9099438190460205, -1.7418043613433838, -13.88570499420166, 2.074399948120117, -12.848809242248535, 1.4910662174224854, -15.628284454345703, -0.7044196724891663, -10.08239459991455]","[80.88763427734375, 42.37952423095703, 17.601343154907227, 23.344572067260742, 23.63199806213379, 15.000913619995117, 14.185272216796875, 10.98247241973877, 12.984516143798828, 9.062955856323242, 11.592666625976562, 7.355135917663574, 6.947171211242676, 7.667026042938232, 5.988433361053467, 7.459424018859863, 5.128840446472168, 9.218207359313965, 6.451085567474365, 7.67714262008667]",sad
"[-498.5830383300781, 54.943721771240234, 9.632006645202637, 18.816387176513672, -4.778334140777588, 0.17561876773834229, -17.674148559570312, -3.093478202819824, -5.84604549407959, -9.75606632232666, -4.010561466217041, -2.5853075981140137, -5.874521732330322, -9.657889366149902, 0.18623647093772888, -7.24739408493042, -2.164186716079712, -2.7093114852905273, -4.016525745391846, -3.5263702869415283]","[110.20735931396484, 54.20762252807617, 26.308046340942383, 29.858699798583984, 23.08936882019043, 17.314483642578125, 21.171146392822266, 13.552194595336914, 11.97629165649414, 13.43941593170166, 8.706788063049316, 8.516459465026855, 11.884149551391602, 12.895058631896973, 7.160713195800781, 11.149787902832031, 6.69924259185791, 6.502039432525635, 8.183987617492676, 9.314656257629395]",sad
"[-518.5248413085938, 95.23070526123047, -13.001564979553223, 41.17460632324219, -15.202943801879883, 14.353764533996582, -30.717561721801758, 9.30696964263916, -11.5746488571167, 1.440604329109192, -3.2232325077056885, -5.138312339782715, 0.04575144127011299, -16.4200439453125, 1.2713383436203003, -14.358163833618164, 4.374025821685791, -7.605562210083008, -5.971823215484619, -11.158528327941895]","[106.14013671875, 49.533111572265625, 20.270992279052734, 28.063297271728516, 17.265674591064453, 10.32767391204834, 23.263641357421875, 9.885506629943848, 9.561349868774414, 6.788346290588379, 8.033506393432617, 7.363738059997559, 6.29876708984375, 8.7532377243042, 5.358719348907471, 7.355479717254639, 8.379891395568848, 5.723571300506592, 5.893424987792969, 7.325990200042725]",neutral
"[-654.3370361328125, 88.78479766845703, -11.312460899353027, 36.31546401977539, -24.65062713623047, 29.48118782043457, -26.228374481201172, 23.077106475830078, -18.25914192199707, 3.2565741539001465, 0.4016628861427307, -6.100463390350342, 0.44612744450569153, -13.746298789978027, 5.931131362915039, -12.059626579284668, 5.637901306152344, -11.22080135345459, 3.699777126312256, -8.202494621276855]","[86.94526672363281, 47.876678466796875, 16.494150161743164, 19.276668548583984, 19.521005630493164, 15.535505294799805, 18.04742431640625, 10.88138198852539, 11.579930305480957, 6.356943130493164, 8.34801959991455, 6.735438823699951, 6.683724880218506, 6.188323020935059, 6.884654998779297, 4.852866172790527, 5.959582805633545, 7.4002227783203125, 5.513508319854736, 7.017128944396973]",neutral
"[-373.2882080078125, 137.13258361816406, -4.951311111450195, 49.153629302978516, -15.061267852783203, 30.168787002563477, -16.918413162231445, 9.724870681762695, -9.105225563049316, 3.0467140674591064, -1.115936279296875, -8.750104904174805, 0.8676363825798035, -9.710541725158691, 5.820987701416016, -12.131418228149414, 4.0695343017578125, -6.986095905303955, -7.204324245452881, -7.622995853424072]","[49.60398483276367, 16.606624603271484, 11.998774528503418, 20.277660369873047, 14.719093322753906, 10.397043228149414, 10.65146255493164, 7.235021114349365, 12.526863098144531, 7.8315277099609375, 6.932976245880127, 6.6872477531433105, 5.730544090270996, 5.60819673538208, 5.91064977645874, 7.3202362060546875, 3.2542355060577393, 4.008103370666504, 4.3513617515563965, 3.8998239040374756]",neutral
"[-385.1036376953125, 106.25347900390625, -7.680821418762207, 44.086517333984375, -19.417587280273438, 16.522701263427734, 1.6922942399978638, -0.3494279980659485, -9.089515686035156, -1.9201130867004395, -0.0352897047996521, -1.8183348178863525, 3.2183375358581543, -5.537840366363525, 6.0828399658203125, -4.515434265136719, 2.2779934406280518, -4.206566333770752, -2.89554762840271, 0.9816426634788513]","[82.2164306640625, 45.013282775878906, 20.69314193725586, 23.864797592163086, 17.656085968017578, 15.17849349975586, 12.547748565673828, 12.076473236083984, 12.173843383789062, 11.063587188720703, 10.120231628417969, 8.840503692626953, 10.889002799987793, 7.720359802246094, 5.774871826171875, 7.560896396636963, 6.605509281158447, 6.764388084411621, 5.491730690002441, 5.589040279388428]",neutral
"[-438.4192810058594, 76.51486206054688, 0.9098172187805176, 25.698278427124023, 1.1963191032409668, 2.9718737602233887, -10.293469429016113, -5.658268928527832, -5.730741024017334, -9.640151977539062, -6.655936241149902, -6.684997081756592, -10.969828605651855, -6.615843772888184, -3.442532539367676, -12.121713638305664, -4.781035423278809, -6.505812644958496, -6.431239128112793, -7.632087707519531]","[144.31224060058594, 62.164154052734375, 31.633094787597656, 24.12119483947754, 18.726179122924805, 14.125486373901367, 16.749544143676758, 12.827094078063965, 8.64746379852295, 11.44981575012207, 7.05634880065918, 7.692466735839844, 11.39244270324707, 5.132874011993408, 6.4299774169921875, 8.69788932800293, 6.748823642730713, 5.367366313934326, 5.836637020111084, 6.173312664031982]",neutral
"[-1131.3709716796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0001220703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral
"[-607.4041748046875, 70.03252410888672, 0.583971381187439, 31.71662712097168, -17.02318000793457, 17.87397575378418, -20.375864028930664, -0.09098231792449951, -15.747157096862793, -2.502244710922241, -4.76705265045166, 0.7248036861419678, 3.174795389175415, -5.417227268218994, 10.846572875976562, -7.697585582733154, 3.9307861328125, -5.30934476852417, 0.767906904220581, -5.78206729888916]","[99.35865020751953, 40.233829498291016, 22.786542892456055, 15.92696475982666, 21.873003005981445, 18.86866569519043, 19.04328155517578, 12.829756736755371, 12.164243698120117, 10.196367263793945, 7.510225772857666, 7.713097095489502, 9.405840873718262, 7.164211750030518, 7.355454444885254, 10.831186294555664, 6.5511980056762695, 6.793843746185303, 5.9723076820373535, 7.281404972076416]",neutral
"[-335.51605224609375, 56.88105392456055, 5.5695600509643555, 46.11890411376953, -14.771425247192383, 52.38151931762695, -25.958311080932617, 21.977298736572266, -9.716899871826172, -3.4000766277313232, -11.830972671508789, -14.205322265625, 4.06858491897583, -9.94514274597168, 11.078604698181152, -9.136110305786133, 6.63481330871582, -10.170286178588867, 7.038532733917236, -0.6651582717895508]","[119.6686019897461, 37.66526794433594, 25.94481086730957, 27.424623489379883, 21.710643768310547, 17.343191146850586, 20.846651077270508, 15.585611343383789, 10.23734188079834, 12.890898704528809, 11.264062881469727, 8.86276912689209, 7.472368240356445, 8.548839569091797, 8.671046257019043, 9.863221168518066, 6.415639877319336, 12.038591384887695, 8.46873950958252, 8.390888214111328]",angry
"[-323.5751037597656, 133.70814514160156, -27.26395034790039, 50.32335662841797, -33.29132843017578, 17.720256805419922, 7.5823564529418945, -8.629332542419434, -6.935842514038086, 1.332554817199707, 7.232509613037109, -6.825314998626709, 4.242714881896973, 3.466573476791382, 6.1724348068237305, -2.2931485176086426, -1.4292110204696655, -0.7632277607917786, -1.1613590717315674, -2.640103578567505]","[73.51814270019531, 52.700992584228516, 24.874032974243164, 22.920076370239258, 29.400102615356445, 23.15779685974121, 17.44832420349121, 11.440295219421387, 14.989648818969727, 12.01225471496582, 10.868431091308594, 7.9959821701049805, 8.83637523651123, 10.009774208068848, 8.373668670654297, 8.65304183959961, 7.800510883331299, 5.296080589294434, 5.52674674987793, 5.335736274719238]",neutral
"[-385.2623596191406, 50.65692138671875, -5.7032928466796875, 52.109130859375, -37.75558090209961, 21.710725784301758, -27.662080764770508, 12.88350772857666, -22.3465633392334, 2.985319137573242, -6.9541473388671875, -10.132784843444824, 7.58693265914917, -13.533319473266602, 8.151310920715332, -14.33996295928955, 5.765822410583496, -8.75910472869873, -0.8953897953033447, -0.08310282975435257]","[90.57273864746094, 40.732505798339844, 26.719722747802734, 29.54498863220215, 23.7694034576416, 21.25370216369629, 15.680743217468262, 13.99052619934082, 13.715089797973633, 11.734538078308105, 11.12069320678711, 8.310519218444824, 8.381013870239258, 7.099990367889404, 6.645119667053223, 8.635794639587402, 6.892394542694092, 8.27404499053955, 7.9536967277526855, 6.162879943847656]",sad
"[-406.8513488769531, 117.4334487915039, -4.140927791595459, 27.991451263427734, -12.97077751159668, 8.74699878692627, -4.547407150268555, 7.738593578338623, -4.425145149230957, 3.8991358280181885, -5.856389999389648, 3.9909346103668213, 2.8453967571258545, -10.261201858520508, 12.52993106842041, -6.767597675323486, 1.1238651275634766, 0.26938775181770325, -1.956861972808838, -3.9120237827301025]","[89.58097076416016, 47.107261657714844, 21.006446838378906, 22.951356887817383, 22.399614334106445, 15.058123588562012, 18.62735939025879, 10.552691459655762, 11.8364896774292, 10.409866333007812, 16.73207664489746, 7.484625339508057, 7.709842681884766, 13.660478591918945, 11.628453254699707, 10.639549255371094, 5.0823845863342285, 5.97751522064209, 4.974432468414307, 7.490127086639404]",neutral
"[-419.6147766113281, 123.97843933105469, 18.69394874572754, 42.31483840942383, 3.2363483905792236, 10.845746040344238, 17.35343360900879, 7.719116687774658, -0.5763210654258728, 3.039091110229492, 5.788403511047363, 7.897916316986084, 1.2140017747879028, -0.3102479577064514, 10.674894332885742, -0.761829674243927, -0.529776930809021, 1.1079421043395996, 1.9337979555130005, 3.8416519165039062]","[114.16146850585938, 60.025325775146484, 22.105619430541992, 29.89904022216797, 22.799638748168945, 15.003124237060547, 10.510652542114258, 12.420792579650879, 14.771105766296387, 10.705131530761719, 8.092540740966797, 6.004118919372559, 9.860637664794922, 9.206600189208984, 7.715976715087891, 7.994167327880859, 6.924245357513428, 6.378072738647461, 5.106563091278076, 3.5951647758483887]",neutral
"[-524.7345581054688, 123.33714294433594, -9.08154296875, 33.449344635009766, 9.437630653381348, 18.653766632080078, 0.9299522638320923, 0.34249746799468994, 1.4813896417617798, 3.647369146347046, -7.731947898864746, -6.1595940589904785, -2.0472536087036133, -4.2118988037109375, -0.9383216500282288, -10.409762382507324, 2.341937780380249, -5.118960857391357, -11.545209884643555, -5.869946002960205]","[112.22638702392578, 42.928829193115234, 28.27484130859375, 19.84571075439453, 18.66266632080078, 16.29889488220215, 12.972834587097168, 9.87440299987793, 9.711984634399414, 10.612724304199219, 8.899358749389648, 7.339542865753174, 7.011562347412109, 7.935683250427246, 9.628738403320312, 7.364296913146973, 5.052358150482178, 5.800498008728027, 6.593021392822266, 5.350007057189941]",neutral
"[-646.115234375, 16.551054000854492, 13.172493934631348, 18.462371826171875, -13.075491905212402, 6.626379489898682, -23.26883316040039, 2.0555121898651123, -24.741535186767578, 1.9402891397476196, -7.575831413269043, -8.855470657348633, 3.379124402999878, -8.759310722351074, 6.73136043548584, -8.698259353637695, 1.8080623149871826, -9.524361610412598, 2.8575117588043213, -2.1312596797943115]","[106.03498077392578, 58.50120544433594, 26.498464584350586, 33.431419372558594, 31.666173934936523, 18.81415557861328, 23.085826873779297, 19.925907135009766, 24.404531478881836, 7.26706600189209, 9.487605094909668, 11.121769905090332, 5.5603461265563965, 9.05593490600586, 10.071478843688965, 6.2195658683776855, 5.965146064758301, 8.196613311767578, 5.945328235626221, 3.7406842708587646]",other
"[-421.82257080078125, 87.94635772705078, 1.0033859014511108, 35.21229553222656, 7.461648464202881, 12.838574409484863, -0.1930829882621765, 7.4561004638671875, 0.25042083859443665, 1.1077409982681274, -4.519901752471924, -7.28563928604126, -0.10837870836257935, -6.145835876464844, 3.0810623168945312, -1.5152963399887085, -0.9030048251152039, -0.9907357096672058, -0.8962110280990601, -2.4129045009613037]","[119.1739273071289, 42.86355972290039, 25.72694206237793, 26.704641342163086, 16.601064682006836, 15.445252418518066, 18.022979736328125, 11.769635200500488, 10.562990188598633, 10.453108787536621, 11.751984596252441, 12.926810264587402, 8.148660659790039, 11.249772071838379, 5.8387556076049805, 6.936867713928223, 7.088537693023682, 5.897800922393799, 4.966685771942139, 6.029667854309082]",angry
"[-482.15252685546875, 78.8406982421875, 6.029463291168213, 11.90781307220459, -9.315524101257324, 8.401426315307617, -4.4004998207092285, 1.5707650184631348, -8.122482299804688, -1.759264349937439, -7.198318958282471, -4.935524940490723, 0.6939644813537598, -4.752013683319092, 2.5777416229248047, -5.806764602661133, 1.5600249767303467, -2.0268731117248535, 1.6871106624603271, -1.384576678276062]","[102.78048706054688, 37.51760482788086, 20.90086555480957, 28.054475784301758, 23.94719696044922, 12.696375846862793, 15.66238021850586, 9.09907341003418, 14.524553298950195, 7.502709865570068, 9.369592666625977, 6.913465976715088, 6.445000171661377, 10.775433540344238, 6.471409320831299, 8.883569717407227, 5.017126083374023, 7.835550785064697, 5.935715675354004, 6.86345100402832]",neutral
"[-403.796142578125, 81.91569519042969, 8.720635414123535, 31.530759811401367, -6.048083305358887, 13.576945304870605, -14.097622871398926, 0.04124300926923752, -10.234171867370605, 1.4487965106964111, -4.137683391571045, 0.2173517793416977, 2.7426867485046387, -5.790001392364502, 6.9445366859436035, -7.400301456451416, 1.8253600597381592, -1.872029185295105, -1.4593045711517334, -2.9654858112335205]","[157.53233337402344, 50.74058151245117, 27.056472778320312, 27.8657283782959, 21.581207275390625, 20.488147735595703, 19.018802642822266, 10.111568450927734, 13.19018840789795, 7.8614606857299805, 8.63565444946289, 8.146492958068848, 7.911074161529541, 10.23049259185791, 9.663599014282227, 11.822539329528809, 6.573357105255127, 7.939870834350586, 7.1377763748168945, 7.630703926086426]",angry
"[-213.78709411621094, 9.856938362121582, -75.16468048095703, 35.51034164428711, -55.29314041137695, 6.089439868927002, -27.60645866394043, 20.74198341369629, -24.9593563079834, 3.777390718460083, -7.807218074798584, -6.240181922912598, 2.5128540992736816, -16.49282455444336, 7.142098426818848, -15.424553871154785, 6.250633716583252, -13.68397331237793, 3.8907763957977295, -8.917500495910645]","[69.10025787353516, 54.37517166137695, 17.913599014282227, 18.30927848815918, 18.931753158569336, 10.490030288696289, 8.982678413391113, 8.631950378417969, 8.945277214050293, 7.283420085906982, 6.2246994972229, 5.728494644165039, 5.486217021942139, 6.416411876678467, 5.7610554695129395, 4.940859794616699, 4.664022922515869, 5.007667541503906, 5.509318828582764, 5.442576885223389]",neutral
"[-478.7872009277344, 77.28385162353516, 6.462322235107422, 32.31154251098633, -18.24176025390625, 3.5805625915527344, -13.872415542602539, 11.52147388458252, -11.987493515014648, 2.435739517211914, -6.7148871421813965, -6.647599220275879, 0.8216988444328308, -10.0936861038208, 2.7311079502105713, -13.364730834960938, 0.8947093486785889, -5.153190612792969, -0.6694082617759705, -1.137653112411499]","[87.58120727539062, 24.279401779174805, 14.721233367919922, 19.725303649902344, 17.548593521118164, 14.022461891174316, 20.814464569091797, 12.154609680175781, 15.742355346679688, 6.182887554168701, 7.608199596405029, 9.325923919677734, 6.963817596435547, 7.656003952026367, 5.4594268798828125, 10.119053840637207, 6.867163181304932, 5.631804466247559, 7.5073137283325195, 8.380027770996094]",sad
"[-399.6585998535156, 125.96588897705078, -38.05344009399414, 45.675567626953125, -19.97907829284668, 23.33257484436035, -7.747954845428467, -10.816983222961426, -0.8853662610054016, -2.571479558944702, -1.743800163269043, -8.735136985778809, 1.437054991722107, -7.684957981109619, 2.439056158065796, 0.335467666387558, -3.246382474899292, -1.764719009399414, 1.0095070600509644, -1.0017584562301636]","[82.47119903564453, 37.076683044433594, 19.61161231994629, 26.795543670654297, 18.306676864624023, 11.676369667053223, 10.172603607177734, 9.091848373413086, 16.930519104003906, 11.70230770111084, 9.697222709655762, 6.304704189300537, 6.402543067932129, 9.984380722045898, 6.624141216278076, 6.55826473236084, 7.588916778564453, 9.612937927246094, 5.654580593109131, 5.190682411193848]",positive
"[-415.5855407714844, 73.76646423339844, 11.052584648132324, 2.998048782348633, -25.097402572631836, 2.3503220081329346, -22.2403507232666, 3.1654961109161377, -22.52703857421875, -3.178957462310791, -11.564281463623047, -8.446114540100098, -8.111327171325684, -11.221392631530762, 3.7888712882995605, -13.896649360656738, 1.6728456020355225, -11.092978477478027, -0.5918616652488708, -10.392236709594727]","[132.51589965820312, 38.09196472167969, 32.34722137451172, 19.530899047851562, 31.34661293029785, 16.213598251342773, 22.71526527404785, 9.983156204223633, 17.361753463745117, 8.987707138061523, 9.631807327270508, 6.34780216217041, 6.055476665496826, 9.1881685256958, 6.7154765129089355, 14.856901168823242, 6.897374153137207, 9.420002937316895, 5.792253017425537, 7.022697925567627]",neutral
"[-353.22198486328125, 121.47693634033203, -5.143716812133789, 51.37054443359375, -16.8593807220459, 25.439422607421875, -21.24126434326172, 15.272789001464844, -11.274930000305176, 1.5167088508605957, 1.9409738779067993, -4.887879848480225, -2.1057043075561523, -11.515096664428711, 11.174419403076172, -8.70191478729248, 4.445681095123291, -7.23322057723999, -2.3935909271240234, -9.359596252441406]","[62.157005310058594, 26.681726455688477, 13.392350196838379, 22.495351791381836, 13.529728889465332, 11.308682441711426, 15.875348091125488, 9.576170921325684, 13.440375328063965, 12.146836280822754, 6.935822010040283, 7.329427242279053, 6.38598108291626, 6.82979679107666, 4.9529948234558105, 7.795770645141602, 4.978600025177002, 4.066867351531982, 4.808688163757324, 4.758365631103516]",neutral
